description,key,text
Приветственное сообщение новому клиенту,welcome_new,"Вітаю 🌿 Я Міра Кода.

Рада, що ви тут 🤍 Через цього бота можна записатися до мене на сесію. Перед записом я поставлю кілька коротких запитань ✍🏻 Це допоможе мені краще зрозуміти ваш запит і підготуватися до нашої зустрічі."
Приветственное сообщение постоянному клиенту,welcome_returning,"З поверненням, {name}! 🌿
Обирайте дію в меню нижче."
Заголовок главного меню,menu_title,Головне меню:
Кнопка или текст главного меню,menu_book,📅 Записатися на сесію
Кнопка или текст главного меню,menu_my_bookings,📁 Мої записи
Кнопка или текст главного меню,menu_profile,👤 Мій профіль
Кнопка или текст главного меню,menu_rules,📌 Правила
Кнопка или текст главного меню,menu_package,💼 Оформити пакет
Кнопка или текст главного меню,menu_help,ℹ️ Допомога
Системный текст бота,client_type_prompt,"Оберіть, будь ласка:"
Текст кнопки,btn_new_client,Я новий клієнт
Текст кнопки,btn_returning_client,Я постійний клієнт
Вопрос анкеты,q_name,Як до вас звертатися? (ім'я)
Вопрос анкеты,q_age,Скільки вам років?
Вопрос анкеты,q_request,"Який у вас запит? Напишіть, будь ласка, коротко, що привело вас зараз на консультацію ✍🏻

📌 Водночас хочу одразу зазначити: я не працюю з такими темами:
• алкогольна та наркотична залежність
• розлади харчової поведінки (РХП)
• ПТСР
• сексуальне насильство як основний запит
• гостре переживання втрати як основний запит"
Вопрос анкеты,q_experience,"Чи був у вас раніше досвід психотерапії? Якщо так, розкажіть, будь ласка, коротко."
Вопрос анкеты,q_diagnosis,"Чи є у вас встановлені психіатричні або неврологічні діагнози?

Також підкажіть, чи приймаєте ви зараз будь-які препарати.

Якщо ні — напишіть «немає»."
Вопрос анкеты,q_age_invalid,"Будь ласка, вкажіть вік цифрами (наприклад: 27)."
Вопрос анкеты,q_saved,Дякую! Анкету збережено ✨
Текст правил перед сессией,rules_text,"Дякую за вашу довіру 💛

Ось важлива інформація перед нашою зустріччю:

1. Сесія триває 50 хвилин.
2. Будь ласка, приєднуйтесь вчасно та оберіть тихе місце, де вас не будуть відволікати.
3. За 30 хвилин до сесії ви отримаєте нагадування з посиланням на зустріч.

Умови скасування та перенесення:
• Більше ніж за 24 години — безкоштовно
• Менше ніж за 24 години — сесія оплачується
• 2 безкоштовних скасування протягом 6 місяців 💛

Рекомендації:
• Підготуйте питання або теми, які хочете обговорити
• Після сесії дайте собі трохи часу на інтеграцію
• Будьте до себе дбайливими 💛"
Системный текст бота,booking_success,"Ви успішно записані на сесію ✨

Найближчим часом ви отримаєте всі необхідні деталі."
Полный текст правил из меню,rules_menu,"📌 Правила запису та проведення сесій

💰 Вартість консультацій:
• Перша консультація — 30$ (50 хвилин)
• Наступні консультації — 35$ (50 хвилин)

Оплата можлива у гривнях за курсом НБУ на день оплати.

📦 Пакет консультацій:
Після 3-ї сесії відкривається можливість придбати пакет на місяць (4 сесії).
Пакет із 4 консультацій — 130$ (замість 140$)

📚 Для психологів та консультантів:
• Професійна консультація — 35$
Тривалість — 60–70 хвилин

🔁 Перенесення та скасування сесії:
• більше ніж за 24 години — безкоштовно
• менше ніж за 24 години — сесія оплачується
2 безкоштовних скасування протягом 6 місяців 💛

💛 Важливо:
Будь ласка, поважайте свій час і процес терапії."
Сообщение выбора слота,choose_slot,Оберіть зручний час для сесії:
Сообщение когда нет свободных слотов,no_slots,"На жаль, зараз немає вільних слотів. Спробуйте пізніше або напишіть адміністратору."
"Текст, связанный со слотами",slot_taken,"На жаль, цей слот щойно зайняли. Оберіть інший, будь ласка."
Подтверждение выбранного слота,confirm_slot,"Ви обираєте слот:

🗓 {slot}

Підтвердити?"
Текст кнопки,btn_confirm,✅ Підтвердити
Текст кнопки,btn_cancel,❌ Скасувати
Сообщение об отмене выбора слота,booking_cancelled,Запис скасовано.
Сообщение о резерве слота до оплаты,booking_reserved,"Чудово! 🌿 Слот {slot} зарезервовано для вас на {hold_min} хвилин.
Якщо за цей час оплата не надійде — слот буде автоматично звільнено."
Сообщение о брони за счет баланса,booking_free_via_credit,"У вас є сесія на балансі 🌿 — оплата не потрібна.
Запис закріплено на {slot}. За 30 хвилин до сесії надішлю нагадування."
Сообщение о снятии резерва по таймауту,slot_released_timeout,"На жаль, ви не встигли оплатити вчасно — слот {slot} звільнено. Спробуйте записатися знову з меню."
Сообщение выбора способа оплаты,payment_method_prompt,Оберіть спосіб оплати 💳
Текст кнопки,btn_pay_paypal,PayPal
Текст кнопки,btn_pay_monobank,Monobank
"Текст, связанный с оплатой",payment_paypal,"Оплата через PayPal:

Надішліть оплату на email:
{link}

Після оплати натисніть кнопку нижче 👇"
"Текст, связанный с оплатой",payment_monobank,"Оплата на карту:

{card}

Після оплати натисніть кнопку нижче 👇"
Системный текст бота,paid_button,Оплата є
Сообщение пользователю ждать подтверждение оплаты,payment_waiting_admin,Очікуйте підтвердження оплати
Короткое сообщение об подтвержденной оплате,payment_confirmed_short,"Платіж підтверджено ✅
Ваш запис зафіксовано."
Полное сообщение об подтвержденной оплате,payment_confirmed,"✅ Готово! Вашу оплату підтверджено, а запис — закріплено. 🌿

🗓 Дата та час: {slot}

Я чекаю на вас. За 30 хвилин до сесії я надішлю нагадування з посиланням на зустріч.
Якщо виникнуть питання — напишіть у цей чат 💛"
Напоминание о сессии,reminder,"🔔 Нагадування!
Ваша сесія з Мірою розпочнеться через 30 хвилин.

🗓 {slot}
🔗 Посилання на зустріч: {link}

До зустрічі! 💛"
Сообщение о доступности пакета консультаций,package_offer,"Вітаю! 🌿 Ви вже пройшли три сесії — це серйозна робота над собою.

Вам відкрито доступ до пакету консультацій на особливих умовах."
Карточка предложения пакета,package_offer_card,"💼 Пакет консультацій доступний

📦 4 сесії
💰 130$ замість 140$
⏳ 1 місяць"
Текст кнопки,btn_buy_package,💼 Оформити пакет
Сообщение выбора способа оплаты пакета,package_method_prompt,Оберіть спосіб оплати пакета 💳
"Текст, связанный с пакетом консультаций",package_paypal,"Оплата пакета через PayPal:

Надішліть оплату на email:
{link}

Сума: 130$

Після оплати натисніть кнопку нижче 👇"
"Текст, связанный с пакетом консультаций",package_monobank,"Оплата пакета на карту:

{card}

Сума: 130$ (у гривнях за курсом НБУ)

Після оплати натисніть кнопку нижче 👇"
Текст кнопки,btn_paid_package,Оплата є
Сообщение о заявке на пакет в ожидании,package_received_pending,Заявку на пакет отримано та очікує підтвердження 💼
Текст оплаты пакета для админа,admin_package_new,"💼 Користувач {user_id} повідомив про оплату пакета

User: @{username}
Ім'я: {name}
Метод: {method}"
Кнопка админки,admin_btn_confirm_package,✅ Підтвердити пакет
Кнопка админки,admin_btn_reject_package,❌ Відхилити пакет
Текст оплаты пакета для админа,admin_package_confirmed_toast,"Пакет активовано, клієнта повідомлено."
Текст оплаты пакета для админа,admin_package_rejected_toast,Заявку на пакет відхилено.
Сообщение об активации пакета,package_activated,"Пакет активовано ✅
У вас є 4 консультації 💛"
Сообщение об отклонении оплаты пакета,package_rejected_user,"На жаль, оплату пакета не підтверджено. Зв'яжіться з адміністратором."
Сообщение что пакет уже активен,package_already_active,У вас вже активний пакет.
Название способа оплаты,method_paypal,PayPal
Название способа оплаты,method_monobank,Monobank
Сообщение когда у клиента нет записей,my_bookings_empty,У вас поки що немає активних записів.
Заголовок раздела мои записи,my_bookings_header,"📁 Мої записи

Тут ви можете залишати свої думки, спостереження або запитання.

Я перегляну ваші записи в день нашої зустрічі."
Карточка одной записи клиента,my_bookings_card,"🗓 {slot}
Статус: {status}"
Текст кнопки,btn_cancel_booking,❌ Скасувати запис
Текст кнопки,btn_reschedule_booking,🔁 Перенести запис
"Текст, связанный с отменой записи",cancel_confirm_free,"Ви справді хочете скасувати запис на {slot}?

До сесії більше 24 годин — скасування безкоштовне, сесія залишиться у вас на балансі."
"Текст, связанный с отменой записи",cancel_confirm_with_quota,"Ви справді хочете скасувати запис на {slot}?

До сесії менше 24 годин. У вас залишилося {left} безкоштовних скасувань — скасування буде безкоштовним."
"Текст, связанный с отменой записи",cancel_confirm_warning,"⚠️ Увага!
До сесії менше 24 годин, а ваші безкоштовні скасування вичерпано.
У разі скасування кошти будуть втрачені.

Продовжити?"
Текст кнопки,btn_cancel_confirm,"Так, скасувати"
Текст кнопки,btn_keep_booking,Залишити запис
"Текст, связанный с отменой записи",cancel_done_reusable,Запис скасовано. Сесія збережена у вашому балансі — ви зможете записатися знову без оплати. 🌿
"Текст, связанный с отменой записи",cancel_done_quota,Запис скасовано. Безкоштовних скасувань залишилося: {left}.
"Текст, связанный с отменой записи",cancel_done_lost,"Запис скасовано. На жаль, кошти за цю сесію втрачено."
"Текст, связанный с отменой записи",cancel_kept,Запис залишено без змін. 🌿
Запрос причины отмены записи,cancel_reason_prompt,"Будь ласка, коротко вкажіть причину скасування — одним повідомленням 💛"
Подтверждение сохранения причины отмены,cancel_reason_saved,"Дякую, причину збережено."
Сообщение что перенос недоступен,reschedule_not_allowed,"Перенести запис можна не пізніше, ніж за 24 години до сесії. Зараз доступне лише скасування — натисніть кнопку нижче, якщо потрібно ⬇️"
Сообщение выбора нового слота для переноса,reschedule_choose_slot,Оберіть новий зручний час для сесії:
Сообщение об успешном переносе записи,reschedule_done,Запис перенесено на {slot}. Нагадування оновлено. 💛
Сообщение когда нет слотов для переноса,reschedule_no_slots,Вільних слотів немає — спробуйте пізніше або напишіть адміністратору.
Текст кнопки,btn_back,⬅️ Назад
Сообщение возврата в главное меню,back_to_menu,Ви в головному меню. Оберіть дію внизу 👇
Системный текст бота,booking_line,• {slot} — {status}
Текст статуса записи,status_pending,очікує оплати
Текст статуса записи,status_waiting_confirm,очікує підтвердження
Текст статуса записи,status_confirmed,підтверджено ✅
Текст статуса записи,status_done,завершено
Текст статуса записи,status_cancelled,скасовано
Шапка профиля клиента,profile_header,"👤 {name}
Вік: {age}
Запит: {request}
Досвід терапії: {experience}
Діагнози / медикаменти: {diagnosis}

📊 Статистика:
✅ Пройдено: {sessions_completed}
❌ Скасовано: {sessions_cancelled}
🔁 Безкоштовні переноси: {free_cancellations_left}
💼 Пакет: {package_status}
Сесій на балансі: {available_sessions}"
"Текст, связанный с пакетом консультаций",package_status_active,активний (залишилось {left})
"Текст, связанный с пакетом консультаций",package_status_inactive,не активний
Заголовок списка активных записей в профиле,profile_bookings_header,"

📁 Ваші активні записи:"
Строка активной записи в профиле,profile_bookings_line,• {slot} — {status}
Сообщение что активных записей нет,profile_bookings_empty,"

📁 Активних записів поки немає."
Текст помощи,help_text,"ℹ️ Як користуватися ботом:

/start — головне меню
/book — записатися на сесію
/my — мої записи
/profile — мій профіль

Правила скасування:
• Більше 24 годин до сесії — безкоштовно, сесія зберігається на балансі.
• Менше 24 годин — 2 безкоштовних скасування на 6 місяців.

Якщо щось не працює — напишіть адміністратору."
Прочий текст админки,admin_new_payment,"🔔 Користувач {user_id} повідомив про оплату

👤 Клієнт: {name} (@{username})
Вік: {age}
Запит: {request}

Метод: {method}
Слот: {slot}
Сесій у цього клієнта: {sessions_count}"
Кнопка админки,admin_btn_confirm,✅ Підтвердити оплату
Кнопка админки,admin_btn_reject,❌ Відхилити
Прочий текст админки,admin_confirmed_toast,"Оплату підтверджено, клієнта повідомлено."
Прочий текст админки,admin_rejected_toast,Заявку відхилено.
Прочий текст админки,admin_already_processed,Ця заявка вже оброблена.
Прочий текст админки,admin_rejected_user,"На жаль, адміністратор не підтвердив вашу оплату. Зв'яжіться з ним для уточнення."
Текст отмены записи админом,admin_cancel_notice,ℹ️ Клієнт {name} (id: {user_id}) скасував(-ла) запис на {slot}. Причина скасування: {reason}.
Справка по админ-командам,admin_help,"🛠 Команди адміна:

/slots_add DD.MM.YYYY - HH:MM — додати слот
/slots_list — показати слоти
/slots_del <id> — видалити слот
/send <user_id> <повідомлення> — написати клієнту
/bookings — усі записи"
Прочий текст админки,admin_texts_reloaded,"Тексти перезавантажено.
Google Sheets: {google}
Локальний fallback: {local}"
Заголовок админ-панели,admin_panel_title,"🛠 Адмін-панель
Оберіть розділ:"
Кнопка или текст меню админа,admin_menu_clients,👥 Клієнти
Кнопка или текст меню админа,admin_menu_today,📅 Сьогодні
Кнопка или текст меню админа,admin_menu_add_slots,➕ Додати слоти
Кнопка или текст меню админа,admin_menu_msg,✉️ Написати клієнту
Кнопка или текст меню админа,admin_menu_stats,📊 Статистика
Кнопка админки,admin_btn_back_panel,⬅️ Назад
Прочий текст админки,admin_clients_header,👥 Клієнти ({count}):
Прочий текст админки,admin_clients_empty,Поки що немає клієнтів.
Прочий текст админки,admin_clients_line,• {name} (@{username}) — {sessions} сесій
Текст карточки клиента в админке,admin_client_profile,"👤 {name}
Вік: {age}
Запит: {request}
Досвід терапії: {experience}
Діагнози / медикаменти: {diagnosis}

💼 Сесії:
• Пройдено: {sessions_completed}
• Доступно: {available_sessions}

🔁 Скасування:
• Використано: {sessions_cancelled}
• Безкоштовних залишилось: {free_cancellations_left}"
Текст карточки клиента в админке,admin_client_future_header,"

📅 Майбутні записи:"
Текст карточки клиента в админке,admin_client_future_empty,"

📅 Майбутніх записів немає."
Кнопка админки,admin_btn_cancel_bk,❌ Скасувати запис
Кнопка админки,admin_btn_resch_bk,🔁 Перенести запис
Кнопка админки,admin_btn_msg_client,✉️ Написати
Текст отмены записи админом,admin_cancel_success,"Запис #{id} скасовано, клієнта повідомлено."
Текст отмены записи админом,admin_cancel_to_client,"Ваш запис було скасовано психологом.
Будь ласка, оберіть новий зручний час 🙏"
Текст переноса записи админом,admin_resch_choose_slot,Оберіть новий слот для запису #{id}:
Текст переноса записи админом,admin_resch_no_slots,Вільних слотів немає — спочатку додайте нові.
Текст переноса записи админом,admin_resch_success,"Запис #{id} перенесено на {slot}, клієнта повідомлено."
Текст переноса записи админом,admin_resch_to_client,"Ваш запис було перенесено психологом.
Новий час: {slot}"
Текст раздела сегодня в админке,admin_today_header,"📅 Сьогодні, {date}:"
Текст раздела сегодня в админке,admin_today_empty,На сьогодні записів немає.
Текст раздела сегодня в админке,admin_today_line,{time} — {name}
Прочий текст админки,admin_add_slots_menu,Як додати слоти?
Кнопка админки,admin_btn_add_one,➕ Один слот
Кнопка админки,admin_btn_add_range,📆 Діапазон
Прочий текст админки,admin_add_one_hint,"Надішліть командою:
/slots_add DD.MM.YYYY - HH:MM

Наприклад: /slots_add 20.04.2026 - 14:00"
Текст добавления диапазона слотов,admin_range_ask_date,Вкажіть дату у форматі DD.MM.YYYY (наприклад 20.04.2026):
Текст добавления диапазона слотов,admin_range_ask_start,"Час початку (HH:MM, наприклад 10:00):"
Текст добавления диапазона слотов,admin_range_ask_end,"Час кінця (HH:MM, наприклад 18:00):"
Текст добавления диапазона слотов,admin_range_ask_step,Крок у хвилинах (наприклад 60):
Текст добавления диапазона слотов,admin_range_date_error,Невірний формат дати. Спробуйте ще раз (DD.MM.YYYY):
Текст добавления диапазона слотов,admin_range_time_error,Невірний формат часу. Спробуйте ще раз (HH:MM):
Текст добавления диапазона слотов,admin_range_step_error,Крок має бути цілим числом хвилин (1..720). Спробуйте ще раз:
Текст добавления диапазона слотов,admin_range_order_error,Час кінця має бути пізніше початку. Спробуйте ще раз з /admin.
Текст добавления диапазона слотов,admin_range_done,Створено {count} слотів на {date}.
Текст отправки сообщения от админа,admin_msg_pick_client,Оберіть клієнта:
Текст отправки сообщения от админа,admin_msg_clients_empty,"Немає клієнтів, яким можна написати."
Текст отправки сообщения от админа,admin_msg_ask_text,Введіть повідомлення для {name}:
Текст отправки сообщения от админа,admin_msg_sent,Повідомлення надіслано ✅
Текст отправки сообщения от админа,admin_msg_failed,Не вдалося надіслати: {error}
Текст отправки сообщения от админа,admin_msg_to_client,"Повідомлення від психолога:

{message}"
Прочий текст админки,admin_stats,"📊 Статистика

Всього клієнтів: {users}
Пройдено сесій: {sessions}
Скасувань: {cancels}"
Сообщение что команда только для админа,admin_only,Ця команда доступна лише адміністратору.
"Текст, связанный со слотами",slot_added,Слот додано: {slot}
"Текст, связанный со слотами",slot_format_error,Невірний формат. Приклад: /slots_add 17.04.2026 - 14:00
"Текст, связанный со слотами",slot_deleted,Слот видалено.
"Текст, связанный со слотами",slot_not_found,Слот не знайдено.
Системный текст бота,slots_list_empty,Слотів поки немає.
Системный текст бота,slots_list_header,Доступні слоти:
Системный текст бота,slots_list_line,{id}. {slot} — {status}
"Текст, связанный со слотами",slot_status_free,вільний
"Текст, связанный со слотами",slot_status_busy,зайнятий
Текст отправки сообщения,send_format_error,Формат: /send <user_id> <повідомлення>
Текст отправки сообщения,send_ok,Повідомлення надіслано.
Текст отправки сообщения,send_failed,Не вдалося надіслати повідомлення: {error}
Прочий текст админки,admin_message_prefix,"💬 Повідомлення від Міри:

"
Текст списка бронирований,bookings_empty,Записів немає.
Текст списка бронирований,bookings_header,Усі записи:
Текст списка бронирований,bookings_line,#{id} {slot} — {name} (id: {user_id}) — {status}
Системный текст бота,client_msg_working,"Дякую за ваше повідомлення 💛
Міра вже отримала його та відповість найближчим часом."
Системный текст бота,client_msg_after_hours,"Зараз неробочий час 🌙
Міра відповість вам з 09:00."
Текст карточки клиента в админке,admin_client_msg,"📩 Нове повідомлення від клієнта

Ім'я: {name}
Username: @{username}

Повідомлення:
{text}"
Кнопка админки,admin_btn_reply,Відповісти
Текст ответа клиенту от админа,admin_reply_ask_text,Введіть повідомлення для клієнта:
Текст ответа клиенту от админа,admin_reply_to_client,"💬 Повідомлення від психолога:

{text}"
Текст ответа клиенту от админа,admin_reply_sent,Повідомлення надіслано ✅
Кнопка или текст меню админа,admin_menu_calendar,📅 Календар
Текст календаря админа,admin_cal_menu_title,📅 Оберіть період:
Текст календаря админа,admin_cal_btn_today,📅 Сьогодні
Текст календаря админа,admin_cal_btn_tomorrow,📅 Завтра
Текст календаря админа,admin_cal_btn_this_week,📅 Цей тиждень
Текст календаря админа,admin_cal_btn_next_week,📅 Наступний тиждень
Текст календаря админа,admin_cal_btn_schedule,📆 Розклад
Прочий текст админки,admin_tomorrow_header,"📅 Завтра, {date}:"
Прочий текст админки,admin_tomorrow_empty,На завтра записів немає.
Прочий текст админки,admin_week_header,"📅 {title}, {range}:"
Прочий текст админки,admin_week_empty,За цей період записів немає.
Прочий текст админки,admin_schedule_title,"📆 Розклад
Пн  Вт  Ср  Чт  Пт  Сб  Нд"
Текст календаря админа,admin_cal_prev,⬅️
Текст календаря админа,admin_cal_next,➡️
Текст просмотра дня в админке,admin_day_header,📅 {date}:
Текст просмотра дня в админке,admin_day_empty,На цю дату записів немає.
Текст просмотра дня в админке,admin_day_slot_line,{time} — {status}
Текст просмотра дня в админке,admin_day_slot_booked,{time} — {name}
Системный текст бота,use_buttons_hint,"Будь ласка, скористайтеся кнопками меню 👇"
Текст удаления в админке,admin_del_clients_title,🗑 Оберіть клієнта для видалення:
Текст удаления в админке,admin_del_confirm_prompt,Видалити клієнта {name} (id: {user_id})? Усі активні записи будуть скасовані.
Кнопка админки,admin_btn_del_confirm,"🗑 Так, видалити"
Кнопка админки,admin_btn_del_cancel,❌ Скасувати
Текст удаления в админке,admin_del_done,Клієнта видалено ✅
Текст удаления в админке,admin_del_not_found,Клієнта не знайдено.
Кнопка или текст меню админа,admin_menu_del_client,🗑 Видалити клієнта
Текст удаления в админке,admin_del_slots_title,🗑 Оберіть слот для видалення:
Текст удаления в админке,admin_del_slot_confirm,Видалити слот {slot}?
Текст удаления в админке,admin_del_slot_done,Слот видалено ✅
Кнопка админки,admin_btn_del_slots,🗑 Видалити слот
Общая ошибка,error_generic,"Упс, щось пішло не так. Спробуйте ще раз."
Общее сообщение об отмене действия,cancelled,Дію скасовано.
Сообщение на неизвестную команду,unknown_command,"Не розумію цю команду. Напишіть /start, щоб відкрити меню."
Сообщение что анкета еще не завершена,anketa_in_progress,"Ви зараз проходите анкету. Продовжуйте відповідати на питання або надішліть /cancel, щоб перервати."
